Type,Title,Authors,Journal,Publisher,DOI,Handle,"Publication Date",Citation,Abstract,"Link to License",Status,"Link to PDF","Link to Extracted Text","Metadata Last Modified"
Article,"Semi-universal geo-crack detection by machine learning","Shi, Yongxiang||Ballesio, Marco||Johansen, Kasper||Trentman, Daniel James||Huang, Yunsong||McCabe, Matthew||Bruhn, Ronald||Schuster, Gerard T.","Frontiers in Earth Science","Frontiers Media SA",10.3389/feart.2023.1073211,http://hdl.handle.net/10754/691064,2023-03-10,"Shi, Y., Ballesio, M., Johansen, K., Trentman, D., Huang, Y., McCabe, M. F., Bruhn, R., & Schuster, G. (2023). Semi-universal geo-crack detection by machine learning. Frontiers in Earth Science, 11. https://doi.org/10.3389/feart.2023.1073211","Introduction: Cracks are a key feature that determines the structural integrity of rocks, and their angular distribution can be used to determine the local or regional stress patterns. The temporal growth of cracks can be monitored in order to predict impending failures of materials or structures such as a weakened dam. Thus, cracks and their spatial-temporal distributions should be automatically monitored for assessing their structural integrity, the associated stress patterns and their potential for failure. Method: We show that the U-Net convolutional neural network, semantic segmentation and transfer learning can be used to accurately detect cracks in drone photos of sedimentary massifs. In this case, the crack distributions are used to assess the safest areas for tunnel excavation. Compared to the coarse performance of ridge detection, the U-Net accuracy in identifying cracks in images can be as high as 98% when evaluated against human identification, which is sufficient for assessing the general crack properties of the rock faces for the engineering project. Result: Based on approximately 100 h of manual cracks labeling in 127 drone photos and 20 h of network training, the U-Net was able to successfully detect cracks in 23,845 high-resolution photographs in less than 22 h using two Nvidia V100 GPUs. Meanwhile, the network was able to detect more than 80% of the observable cracks of a volcanic outcrop in Idaho without additional training. With a modest amount of extra labeling on photos of the volcanic outcrop and transfer training, we found that the accuracy significantly improved. The surprising outcome of this research is that the U-Net crack detector laboriously trained on photos of sedimentary rocks can also be effectively applied to photos of volcanic rock faces. This can be important for real-time assessment of geological hazards and lithology information for dam inspection and planetary exploration by autonomous vehicles. For another application, we accurately detected fractures and faults with a scale of tens of kilometers from Martian photographs. Conclusions: In summary, our methodology of using CNN with transfer training suggests that it can be used as a semi-universal detector of cracks in across a range of diverse geological settings.",https://creativecommons.org/licenses/by/4.0/,Published,https://repository.kaust.edu.sa/bitstream/10754/691064/1/feart-11-1073211.pdf,,2023-04-12T15:40:08
Article,"From electronic structure to model application of key reactions for gasoline/alcohol combustion: Hydrogen-atom abstractions by CH3Ȯ radical","Yalamanchi, Kiran K.||Bai, Xin||Fernando, Nivain D.||Lua, Adrian S.||Cheng, Song||Li, Yang||Zhou, Chong Wen||Goldsborough, S. Scott||Sarathy, Mani","Combustion and Flame","Elsevier BV",10.1016/j.combustflame.2023.112742,http://hdl.handle.net/10754/691063,2023-03-27,"Yalamanchi, K. K., Bai, X., Fernando, N. D., Lua, A. S., Cheng, S., Li, Y., Zhou, C.-W., Goldsborough, S. S., & Sarathy, S. M. (2023). From electronic structure to model application of key reactions for gasoline/alcohol combustion: Hydrogen-atom abstractions by CH3Ȯ radical. Combustion and Flame, 252, 112742. https://doi.org/10.1016/j.combustflame.2023.112742","H-atom abstraction by methoxy radical (CH3Ȯ) plays an important role in capturing the kinetics of reactions between gasoline components and alcohols. This study focuses on determining the reaction rates and thermodynamic properties of methoxy radical reactions with five gasoline fuel components: n-heptane, iso-octane, 1-hexene, cyclopentane and toluene. Electronic structure calculations were performed for all the stationary points with M06-2X/6−311++g(d,p) method. G3 composite method with atomization method is used for determining ΔfH0 of all the closed shell and radical species, using which the necessary thermodynamic data of all the species was determined. Coupled cluster theory QCISD(T)/cc-pVXZ (where X = D and T) and Møller–Plesset perturbation theory MP2/cc-pVXZ (where X = D, T and Q) were used to calculate single point energies. Subsequently, rate constants for all hydrogen atom abstraction channels have been performed using conventional transition state theory with unsymmetric tunneling corrections. A systematic comparison of rates for abstraction from different sites within the same species and same site from different species is done in order to get insights into this reaction class. The computed thermodynamic properties and rate constants were incorporated in to a recent gasoline mechanism to investigate the impact of the calculations performed in this work. A shift in predicted NTC (negative temperature coefficient) behavior and significant reduction in model reactivity is observed upon incorporating the rates calculated herein.",,Published,,,2023-04-12T15:30:09
Preprint,"Stabilizing Ruthenium Dioxide with Cation-Anchored Sulfate for Durable Oxygen Evolution in PEMWE","Xue, Yanrong||Zhao, Jiwu||Huang, Liang||Lu, Ying-Rui||Malek, Abdul||Gao, Ge||Zhuang, Zhongbin||Wang, Dingsheng||Yavuz, Cafer T.||Lu, Xu",,"Elsevier BV",10.2139/ssrn.4406469,http://hdl.handle.net/10754/691062,2023-04-03,"Xue, Y., Zhao, J., Huang, L., Lu, Y.-R., Malek, A., Gao, G., Zhuang, Z., Wang, D., Yavuz, C. T., & Lu, X. (2023). Stabilizing Ruthenium Dioxide with Cation-Anchored Sulfate for Durable Oxygen Evolution in PEMWE. https://doi.org/10.2139/ssrn.4406469","Ruthenium dioxide (RuO2) is the most promising alternative to the prevailing but expensive iridium (Ir)-based oxygen evolution reaction (OER) catalysts for proton-exchange membrane water electrolyzers (PEMWEs). However, the stability of RuO2 in PEMWEs has remained poor due to the over-oxidation of under-coordinated lattice oxygen (O) and the consequent formation of O vacancies (Vo) at high oxidation potentials under acidic corrosive conditions. Here, we report an oxyanion protection strategy to prevent the formation of Vo on the RuO2 surface by forming coordination-saturated lattice O. Combining density functional theory calculations, electrochemical measurements, and a suite of operando spectroscopies, we showcase that barium (Ba)-anchored sulfate can greatly impede Ru loss and extend the lifetime of Ru-based catalysts during acidic OER while maintaining the activity. The as-prepared Ba0.3(SO4δW0.2Ru0.5O2−δ, when integrated into a PEMWE using 0.5 M H2SO4 as the electrolyte, can be stably operated for > 300 h at 500 mA cm−2. This work paves a new way for designing stable and active OER catalysts toward acidic water splitting.",,"Under Review",https://repository.kaust.edu.sa/bitstream/10754/691062/1/SSRN-id4406469.pdf,,2023-04-12T15:20:08
Preprint,"Lidar-Assisted Acquisition of Mobile Airborne FSO Terminals in a GPS-Denied Environment","Liu, Heyou||Bashir, Muhammad Salman||Alouini, Mohamed-Slim",,arXiv,,http://hdl.handle.net/10754/691061,2023-04-06,,"For acquisition of narrow-beam free-space optical (FSO) terminals, a Global Positioning System (GPS) is typically required for coarse localization of the terminal. However, the GPS signal may be shadowed, or may not be present at all, especially in rough or unnameable terrains. In this study, we propose a lidar-assisted acquisition of an unmanned aerial vehicle (UAV) for FSO communications in a poor GPS environment. Such an acquisition system consists of a lidar subsystem and an FSO acquisition subsystem: The lidar subsystem is used for coarse acquisition of the UAV, whereas, the FSO subsystem is utilized for fine acquisition to obtain the UAV's accurate position. This study investigates the optimal allocation of energy between the lidar and FSO subsystems to minimize the acquisition time. Here, we minimize the average acquisition time, and maximize the cumulative distribution function of acquisition time for a fixed threshold. We learn that an optimal value of the energy allocation factor exists that provides the best performance for the proposed acquisition system.",,"Under Review",https://repository.kaust.edu.sa/bitstream/10754/691061/1/2304.02804.pdf,,2023-04-12T15:10:09
Preprint,"Coverage Analysis and Trajectory Optimization for Aerial Users with Dedicated Cellular Infrastructure","Qin, Yujie||Kishk, Mustafa A.||Alouini, Mohamed-Slim",,arXiv,,http://hdl.handle.net/10754/691060,2023-04-06,,"In this paper, we consider a novel cellular network for aerial users, which is composed of dedicated base stations (BSs), whose antennas are directed towards aerial users, and traditional terrestrial BSs (TBSs). Besides, the dedicated BSs are deployed on roadside furniture, such as lampposts and traffic lights, to achieve multiple features while occupying less space. Therefore, the locations of dedicated BSs and TBSs are modeled by a Poisson-line-Cox-process (PLCP) and Poisson point process (PPP), respectively. For the proposed network, we first compute the aerial coverage probability and show that the deployment of dedicated BSs improves the coverage probability in both high dense areas and rural areas. We then consider a cellular-connected UAV that has a flying mission and optimize its trajectory to maximize the minimal achievable signal-to-interference-plus-noise ratio (SINR) (Max-Min SINR). To obtain the Max-Min SINR and minimal time trajectory that satisfies the Max-Min SINR, we proposed two algorithms that are practical in large-scale networks. Finally, our results show that the optimal density of dedicated BSs which maximizes Max-Min SINR decreases with the increase of the road densities.",,"Under Review",https://repository.kaust.edu.sa/bitstream/10754/691060/1/2304.03026.pdf,,2023-04-12T15:00:08
Preprint,"Inductive Graph Unlearning","Wang, Cheng-Long||Huai, Mengdi||Wang, Di",,arXiv,,http://hdl.handle.net/10754/691059,2023-04-06,,"As a way to implement the ""right to be forgotten"" in machine learning, \textit{machine unlearning} aims to completely remove the contributions and information of the samples to be deleted from a trained model without affecting the contributions of other samples. Recently, many frameworks for machine unlearning have been proposed, and most of them focus on image and text data. To extend machine unlearning to graph data, \textit{GraphEraser} has been proposed. However, a critical issue is that \textit{GraphEraser} is specifically designed for the transductive graph setting, where the graph is static and attributes and edges of test nodes are visible during training. It is unsuitable for the inductive setting, where the graph could be dynamic and the test graph information is invisible in advance. Such inductive capability is essential for production machine learning systems with evolving graphs like social media and transaction networks. To fill this gap, we propose the \underline{{\bf G}}\underline{{\bf U}}ided \underline{{\bf I}}n\underline{{\bf D}}uctiv\underline{{\bf E}} Graph Unlearning framework (GUIDE). GUIDE consists of three components: guided graph partitioning with fairness and balance, efficient subgraph repair, and similarity-based aggregation. Empirically, we evaluate our method on several inductive benchmarks and evolving transaction graphs. Generally speaking, GUIDE can be efficiently implemented on the inductive graph learning tasks for its low graph partition cost, no matter on computation or structure information.",,"Under Review",https://repository.kaust.edu.sa/bitstream/10754/691059/1/2304.03093v1.pdf,,2023-04-12T15:00:08
Preprint,"Improving Visual Question Answering Models through Robustness Analysis and In-Context Learning with a Chain of Basic Questions","Huang, Jia-Hong||Alfadly, Modar||Ghanem, Bernard||Worring, Marcel",,arXiv,,http://hdl.handle.net/10754/691058,2023-04-06,,"Deep neural networks have been critical in the task of Visual Question Answering (VQA), with research traditionally focused on improving model accuracy. Recently, however, there has been a trend towards evaluating the robustness of these models against adversarial attacks. This involves assessing the accuracy of VQA models under increasing levels of noise in the input, which can target either the image or the proposed query question, dubbed the main question. However, there is currently a lack of proper analysis of this aspect of VQA. This work proposes a new method that utilizes semantically related questions, referred to as basic questions, acting as noise to evaluate the robustness of VQA models. It is hypothesized that as the similarity of a basic question to the main question decreases, the level of noise increases. To generate a reasonable noise level for a given main question, a pool of basic questions is ranked based on their similarity to the main question, and this ranking problem is cast as a LASSO optimization problem. Additionally, this work proposes a novel robustness measure, R_score, and two basic question datasets to standardize the analysis of VQA model robustness. The experimental results demonstrate that the proposed evaluation method effectively analyzes the robustness of VQA models. Moreover, the experiments show that in-context learning with a chain of basic questions can enhance model accuracy.",,"Under Review",https://repository.kaust.edu.sa/bitstream/10754/691058/1/2304.03147.pdf,,2023-04-12T14:40:11
Preprint,"A Holistic Approach to Include SiC and Design the Optimal Extrudate Catalyst for Hydrogen Production–Reforming Routes","Alkadhem, Ali M.||Tavares, F.||Realpe, Natalia||Lezcano, Gontzal||Yudhanto, Arief||Subah, Mohammad||Manaças, Vasco||Osinski, Jacek||Lubineau, Gilles||Castaño, Pedro",,"Elsevier BV",10.2139/ssrn.4408661,http://hdl.handle.net/10754/691057,2023-04-06,"Alkadhem, A. M., Tavares, F., Realpe, N., Lezcano, G., Yudhanto, A., Subah, M., Manaças, V., Osinski, J., Lubineau, G., & Castano, P. (2023). A Holistic Approach to Include SiC and Design the Optimal Extrudate Catalyst for Hydrogen Production–Reforming Routes. https://doi.org/10.2139/ssrn.4408661","Reforming processes are the backbone of hydrogen production routes, given the flexibility of their feedstock, such as methane, carbon dioxide, ammonia, waste plastics, or biomass. Heat transfer is a drawback at the industrial scale, reducing efficiency. We incorporate SiC in the technical extrudate catalyst and develop a holistic approach to optimize and understand the effect of each constituent and its mixtures. We apply Ni-Ce as an active phase, bentonite or kaolin as a binder, alumina as a filler, and carborundum as the heat-transport carrier. We characterize the extrudate catalysts using various techniques, including crushing strength and thermal conductivity. We test the samples in the steam reforming of a model molecule, calculate the kinetics and deactivation, perform a multivariate analysis, and model an industrial reformer. The results lead to optimal catalyst formulations, demonstrating the authentic influence of each constituent at multiple scales: reaction, deactivation, properties, and reactor performance.",,"Under Review",https://repository.kaust.edu.sa/bitstream/10754/691057/1/SSRN-id4408661.pdf,,2023-04-12T14:40:11
Preprint,"VOICE: Visual Oracle for Interaction, Conversation, and Explanation","Jia, Donggang||Irger, Alexandra||Strnad, Ondrej||Bjorklund, Johanna||Ynnerman, Anders||Viola, Ivan",,arXiv,,http://hdl.handle.net/10754/691056,2023-04-08,,"We present VOICE, a novel approach for connecting large language models' (LLM) conversational capabilities with interactive exploratory visualization. VOICE introduces several innovative technical contributions that drive our conversational visualization framework. Our foundation is a pack-of-bots that can perform specific tasks, such as assigning tasks, extracting instructions, and generating coherent content. We employ fine-tuning and prompt engineering techniques to tailor bots' performance to their specific roles and accurately respond to user queries, and a new prompt-based iterative scene-tree generation establishes a coupling with a structural model. Our text-to-visualization method generates a flythrough sequence matching the content explanation. Finally, 3D natural language interaction provides capabilities to navigate and manipulate the 3D models in real-time. The VOICE framework can receive arbitrary voice commands from the user and responds verbally, tightly coupled with corresponding visual representation with low latency and high accuracy. We demonstrate the effectiveness and high generalizability potential of our approach by applying it to two distinct domains: analyzing three 3D molecular models with multi-scale and multi-instance attributes, and showcasing its effectiveness on a cartographic map visualization.",,"Under Review",https://repository.kaust.edu.sa/bitstream/10754/691056/1/2304.04083.pdf,,2023-04-12T14:20:10
Preprint,"Video ChatCaptioner: Towards the Enriched Spatiotemporal Descriptions","Chen, Jun||Zhu, Deyao||Haydarov, Kilichbek||Li, Xiang||Elhoseiny, Mohamed",,arXiv,,http://hdl.handle.net/10754/691055,2023-04-09,,"Video captioning aims to convey dynamic scenes from videos using natural language, facilitating the understanding of spatiotemporal information within our environment. Although there have been recent advances, generating detailed and enriched video descriptions continues to be a substantial challenge. In this work, we introduce Video ChatCaptioner, an innovative approach for creating more comprehensive spatiotemporal video descriptions. Our method employs a ChatGPT model as a controller, specifically designed to select frames for posing video content-driven questions. Subsequently, a robust algorithm is utilized to answer these visual queries. This question-answer framework effectively uncovers intricate video details and shows promise as a method for enhancing video content. Following multiple conversational rounds, ChatGPT can summarize enriched video content based on previous conversations. We qualitatively demonstrate that our Video ChatCaptioner can generate captions containing more visual details about the videos.",,"Under Review",https://repository.kaust.edu.sa/bitstream/10754/691055/1/2304.04227.pdf,,2023-04-12T14:10:08
